ingredient_id	ingredient_name	axis	evidence_id	external_id	title_or_condition	evidence_detail	year_or_date	doi_or_url	matched_patterns
HBIN021985	Curcumin	B_cell	HBREF004173	36196887	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway	Animal & Cell Experiment	2022	10.1002/ptr.7656	\bb[- ]?cell;\bb[- ]?cells;regulatory b
HBIN021985	Curcumin	myeloid_dc	HBREF004173	36196887	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway	Animal & Cell Experiment	2022	10.1002/ptr.7656	myd88
HBIN021985	Curcumin	B_cell	HBREF004178	36353208	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling	Animal & Cell Experiment	2022	10.3748/wjg.v28.i40.5865	\bb[- ]?cell;\bb[- ]?cells;memory b;\bbcl[- ]?6\b;\bsyk\b;\bblnk\b
HBIN017892	Berberime	myeloid_dc	HBREF003397	35428692	Berberine Modulates Macrophage Activation by Inducing Glycolysis	Animal & Cell Experiment	2022	10.4049/jimmunol.2100716	macrophage
HBIN017892	Berberime	myeloid_dc	HBREF003406	35935245	Therapeutic Mechanisms of Berberine to Improve the Intestinal Barrier Function via Modulating Gut Microbiota, TLR4/NF-κ B/MTORC Pathway and Autophagy in Cats	Animal Experiment	2022	10.3389/fmicb.2022.961885	tlr4
HBIN045672	Taxifolin	myeloid_dc	HBREF006685	33664740	Dietary Taxifolin Protects Against Dextran Sulfate Sodium-Induced Colitis via NF-κB Signaling, Enhancing Intestinal Barrier and Modulating Gut Microbiota	Animal Experiment	2021	10.3389/fimmu.2020.631809	nf[- ]?κb
HBIN017136	Asperuloside	myeloid_dc	HBREF003245	33974900	Asperuloside suppressing oxidative stress and inflammation in DSS-induced chronic colitis and RAW 264.7 macrophages via Nrf2/HO-1 and NF-κB pathways	Animal Experiment	2021	10.1016/j.cbi.2021.109512	macrophage;nf[- ]?κb
HBIN020921	Cis-resveratrol	myeloid_dc	HBREF001417	21807089	Role of resveratrol-induced CD11b(+) Gr-1(+) myeloid derived suppressor cells (MDSCs) in the reduction of CXCR3(+) T cells and amelioration of chronic colitis in IL-10(-/-) mice	Animal Experiment	2012	10.1016/j.bbi.2011.07.236 	myeloid
HBIN042199	Rhein	myeloid_dc	HBREF006339	34882785	Rhein regulates redox-mediated activation of NLRP3 inflammasomes in intestinal inflammation through macrophage-activated crosstalk	Cell Experiment	2021	10.1111/bph.15773	macrophage;nlrp3;inflammasome
HBIN018512	Bilobalide	myeloid_dc	HBREF003520	32670051	Bilobalide Alleviated Dextran Sulfate Sodium-Induced Experimental Colitis by Inhibiting M1 Macrophage Polarization Through the NF-κB Signaling Pathway	Animal Experiment	2020	10.3389/fphar.2020.00718	macrophage;\bm1\b;nf[- ]?κb
HBIN029531	Honokiol	myeloid_dc	HBREF004962	35901530	Honokiol alleviates ulcerative colitis by targeting PPAR-γ-TLR4-NF-κB signaling and suppressing gasdermin-D-mediated pyroptosis in vivo and in vitro	Animal & Cell Experiment	2022	10.1016/j.intimp.2022.109058	nf[- ]?κb;tlr4
HBIN030442	Isoarnebin 4	myeloid_dc	HBREF005062	36059938	Shikonin ameliorated mice colitis by inhibiting dimerization and tetramerization of PKM2 in macrophages	Animal & Cell Experiment	2022	10.3389/fphar.2022.926945	macrophage
HBIN038606	Paeoniflorin	myeloid_dc	HBREF005940	35716915	Paeoniflorin prevents aberrant proliferation and differentiation of intestinal stem cells by controlling C1q release from macrophages in chronic colitis	Animal Experiment	2022	10.1016/j.phrs.2022.106309	macrophage
HBIN041495	Quercetin	myeloid_dc	HBREF005566	34361114	Quercetin Administration Suppresses the Cytokine Storm in Myeloid and Plasmacytoid Dendritic Cells	Cell Experiment	2021	10.3390/ijms22158349	dendritic;myeloid
