candidate	candidate_role	HERB_records	HERB_references	clinical_trial_records	meta_analysis_records	disease_context_targets	B_lineage_context_rank	B_lineage_context_score	standard_overlap_rank	standard_overlap_hits	standard_overlap_up_hits	disease_cell_aware_rank	rank_shift_overlap_minus_disease_cell	B_cell_increased_targets	MDC_expressed_targets	LINCS_exact_ID_covered	standard_overlap_genes
Curcumin	Exploratory B-lineage-context candidate	13	4	5	4	22	1	54.25	2	3	3	1	1	11	11	yes	CCL2;IL1B;IL33
Emodin	Lower-consensus comparator	4	4	0	0	18	2	37	1	7	6	2	-1	5	6	yes	CCL2;CXCL5;IL1A;IL1B;NOS2;PPARG;PTGS2
Bilobalide	Myeloid-context comparator	2	2	0	0	12	3	31.75	4	2	2	3	1	6	7	no	IL1B;ITGAX
Geniposide	Lower-consensus comparator	2	2	0	0	11	4	28.75	6	2	2	5	1	6	5	no	CCL2;IL1B
Berberine	Myeloid-context comparator	10	6	1	3	10	5	27.5	7	2	2	4	3	5	6	yes	IL1B;PTGS2
Isoarnebin 4	Myeloid-context comparator	2	2	0	0	9	6	26.75	8	2	2	6	2	5	5	no	IL1B;NOS2
Cryptotanshinone	Lower-consensus comparator	3	3	0	0	11	7	23.5	5	2	2	7	-2	3	6	no	NOS2;PTGS2
Alpinetin	Lower-consensus comparator	2	2	0	0	6	8	21.25	19	0	0	13	6	5	5	no	
Polydatin	Lower-consensus comparator	2	2	0	0	5	9	21	9	2	2	8	1	4	4	yes	ICAM1;SELP
Taxifolin	Myeloid-context comparator	3	3	0	0	7	12	19	12	1	1	10	2	4	4	yes	IL1B
Trans-resveratrol	Lower-consensus comparator	6	2	1	3	7	13	19	13	1	1	11	2	4	4	yes	IL1B
Honokiol	Myeloid-context comparator	2	2	0	0	6	16	12.5	3	3	2	12	-9	2	2	yes	IL1B;NOS2;PPARG
Quercetin	Myeloid-context comparator	2	2	0	0	1	25	0	25	0	0	25	0	0	0	yes	
